             VARIABLE : Surface temperature anomaly (K)
             DATA SET : GISTEMP Surface Temperature Analysis
             FILENAME : gistemp1200_GHCNv4_ERSSTv5.nc
             FILEPATH : /usr/local/fer_dsets/data/GISTEMP/
             BAD FLAG : -1.E+34       
             SUBSET   : 1455 points (TIME)
             LONGITUDE: 9W(-9)
             LATITUDE : 47N
         	9W   
NOV-1968	0.61
DEC-1968	0.49
JAN-1969	0.27
FEB-1969	0.07
MAR-1969	-0.04
APR-1969	-0.18
MAY-1969	-0.19
JUN-1969	-0.35
JUL-1969	-0.08
AUG-1969	-1.E+34
SEP-1969	-0.34
OCT-1969	0.21
NOV-1969	0.21
DEC-1969	-0.24
JAN-1970	-0.19
FEB-1970	-0.14
MAR-1970	-0.28
APR-1970	-0.33
MAY-1970	-0.27
JUN-1970	0.33
JUL-1970	-0.21
AUG-1970	-0.01
SEP-1970	-0.1
OCT-1970	-0.15
NOV-1970	0.17
DEC-1970	0.13
JAN-1971	-0.2
FEB-1971	-0.16
MAR-1971	-0.3
APR-1971	-0.1
MAY-1971	-0.22
JUN-1971	-0.66
JUL-1971	0.1
AUG-1971	-0.28
SEP-1971	0.18
OCT-1971	0.98
NOV-1971	0.44
DEC-1971	0.02
JAN-1972	-1.E+34
FEB-1972	-0.19
MAR-1972	-0.3
APR-1972	-0.36
MAY-1972	-0.74
JUN-1972	-1.41
JUL-1972	-0.82
AUG-1972	-0.74
SEP-1972	-0.67
OCT-1972	-0.54
NOV-1972	-0.38
DEC-1972	-0.37
JAN-1973	-0.14
FEB-1973	-0.11
MAR-1973	-0.25
APR-1973	-0.2
MAY-1973	-0.07
JUN-1973	0.08
JUL-1973	0.09
AUG-1973	0.32
SEP-1973	0.53
OCT-1973	-0.12
NOV-1973	0.3
DEC-1973	0.01
JAN-1974	0.12
FEB-1974	0.07
MAR-1974	0.02
APR-1974	0.1
MAY-1974	-0.3
JUN-1974	-0.4
JUL-1974	-0.34
AUG-1974	-0.27
SEP-1974	-0.91
OCT-1974	-1.37
NOV-1974	-0.95
DEC-1974	-0.29
JAN-1975	0.23
FEB-1975	0.31
MAR-1975	0.06
APR-1975	-0.2
MAY-1975	-0.25
JUN-1975	-0.2
JUL-1975	0.28
AUG-1975	0.7
SEP-1975	0.07
OCT-1975	-0.27
NOV-1975	0.19
DEC-1975	-0.27
JAN-1976	-1.E+34
FEB-1976	-0.02
MAR-1976	-0.01
APR-1976	-0.11
MAY-1976	-0.22
JUN-1976	0.33
JUL-1976	0.99
AUG-1976	1.35
SEP-1976	0.71
OCT-1976	-0.32
NOV-1976	-0.79
DEC-1976	-0.63
JAN-1977	-0.31
FEB-1977	-0.13
MAR-1977	0.14
APR-1977	-0.14
MAY-1977	-0.29
JUN-1977	-0.32
JUL-1977	-0.29
AUG-1977	-0.28
SEP-1977	-0.29
OCT-1977	-0.08
NOV-1977	0.09
DEC-1977	-0.01
JAN-1978	-0.04
FEB-1978	0.03
MAR-1978	0.01
APR-1978	-0.21
MAY-1978	-0.29
JUN-1978	-0.34
JUL-1978	-0.78
AUG-1978	-0.23
SEP-1978	0.4
OCT-1978	0.17
NOV-1978	0.9
DEC-1978	0.46
JAN-1979	-0.11
FEB-1979	-0.21
MAR-1979	-0.31
APR-1979	-0.47
MAY-1979	-0.57
JUN-1979	-0.14
JUL-1979	0.16
AUG-1979	-0.13
SEP-1979	0.23
OCT-1979	-0.05
NOV-1979	-0.12
DEC-1979	0.22
JAN-1980	0.07
FEB-1980	0.33
MAR-1980	0.12
APR-1980	0.25
MAY-1980	0.31
JUN-1980	0.16
JUL-1980	-0.5
AUG-1980	-0.11
SEP-1980	0.25
OCT-1980	-0.23
NOV-1980	-0.19
DEC-1980	-0.2
JAN-1981	-0.04
FEB-1981	-0.06
MAR-1981	0.26
APR-1981	0.4
MAY-1981	-0.1
JUN-1981	-0.11
JUL-1981	-0.28
AUG-1981	0.44
SEP-1981	0.79
OCT-1981	-0.37
NOV-1981	0.17
DEC-1981	0.22
JAN-1982	0.2
FEB-1982	0.47
MAR-1982	0.38
APR-1982	0.43
MAY-1982	0.32
JUN-1982	0.41
JUL-1982	0.47
AUG-1982	0.18
SEP-1982	0.02
OCT-1982	-0.48
NOV-1982	-0.07
DEC-1982	-0.19
JAN-1983	0.02
FEB-1983	-0.22
MAR-1983	0.17
APR-1983	-0.16
MAY-1983	-0.37
JUN-1983	-0.03
JUL-1983	0.84
AUG-1983	0.93
SEP-1983	0.1
OCT-1983	0.34
NOV-1983	0.53
DEC-1983	0.49
JAN-1984	0.5
FEB-1984	0.21
MAR-1984	-0.06
APR-1984	0.22
MAY-1984	-0.1
JUN-1984	-0.6
JUL-1984	0.24
AUG-1984	0.55
SEP-1984	0.51
OCT-1984	-0.36
NOV-1984	-0.05
DEC-1984	0.14
JAN-1985	-0.23
FEB-1985	0.04
MAR-1985	-0.07
APR-1985	0.25
MAY-1985	-0.2
JUN-1985	-0.02
JUL-1985	0.33
AUG-1985	-0.76
SEP-1985	-1.E+34
OCT-1985	0.75
NOV-1985	0.42
DEC-1985	0.4
JAN-1986	0.24
FEB-1986	-0.4
MAR-1986	-0.55
APR-1986	-0.8
MAY-1986	-0.79
JUN-1986	-0.88
JUL-1986	-0.25
AUG-1986	-0.75
SEP-1986	-0.52
OCT-1986	0.02
NOV-1986	-0.19
DEC-1986	-0.05
JAN-1987	-0.32
FEB-1987	-0.3
MAR-1987	-0.07
APR-1987	0.08
MAY-1987	0.21
JUN-1987	0.06
JUL-1987	0.62
AUG-1987	0.8
SEP-1987	0.74
OCT-1987	-0.07
NOV-1987	-0.01
DEC-1987	0.06
JAN-1988	0.28
FEB-1988	0.11
MAR-1988	-0.02
APR-1988	0.3
MAY-1988	0.36
JUN-1988	0.17
JUL-1988	-0.53
AUG-1988	-0.49
SEP-1988	-0.39
OCT-1988	-0.37
NOV-1988	0.41
DEC-1988	0.47
JAN-1989	0.76
FEB-1989	0.71
MAR-1989	0.54
APR-1989	-0.03
MAY-1989	0.76
JUN-1989	1.18
JUL-1989	1.77
AUG-1989	1.53
SEP-1989	0.74
OCT-1989	0.66
NOV-1989	0.26
DEC-1989	0.34
JAN-1990	0.58
FEB-1990	0.57
MAR-1990	0.67
APR-1990	0.32
MAY-1990	1.54
JUN-1990	0.84
JUL-1990	0.51
AUG-1990	1.21
SEP-1990	0.73
OCT-1990	0.4
NOV-1990	0.11
DEC-1990	-0.15
JAN-1991	-0.19
FEB-1991	-0.26
MAR-1991	-0.05
APR-1991	-0.16
MAY-1991	-0.17
